contestID,problemID,refContestID,refProblemID
671,A,671,A
671,B,671,B
671,C,671,C
672,C,671,A
672,D,671,B
672,E,671,C
643,A,674,A
643,B,674,B
643,C,674,C
643,D,674,D
643,E,674,E
643,F,674,F
643,G,674,G
673,C,674,A
673,D,674,B
673,E,674,C
673,F,674,D
674,A,674,A
674,B,674,B
674,C,674,C
674,D,674,D
674,E,674,E
674,F,674,F
674,G,674,G
666,A,666,A
666,B,666,B
666,D,666,D
667,C,666,A
667,D,666,B
667,E,666,D
641,A,669,B
641,B,668,A
641,C,668,B
641,D,668,C
641,E,668,D
641,F,668,E
641,G,668,F
668,A,668,A
668,B,668,B
668,C,668,C
668,D,668,D
668,E,668,E
668,F,668,F
669,B,669,B
669,C,668,A
669,D,668,B
669,E,668,D
663,A,663,A
663,B,663,B
663,C,663,C
663,D,663,D
664,B,663,A
664,C,663,B
664,D,663,C
664,E,663,D
640,A,640,A
640,B,640,B
640,C,640,C
640,D,640,D
640,E,640,E
640,F,640,F
640,G,640,G
640,H,640,H
661,A,640,A
661,B,640,B
661,C,640,C
661,D,640,D
661,E,640,E
661,F,640,F
661,G,640,G
661,H,640,H
639,A,658,B
639,B,657,A
639,C,657,B
639,D,657,C
639,E,657,D
639,F,657,E
657,A,657,A
657,B,657,B
657,C,657,C
657,D,657,D
657,E,657,E
658,B,658,B
658,C,657,A
658,D,657,B
658,E,657,C
645,A,645,A
645,B,645,B
645,C,645,C
645,D,645,D
645,E,645,E
645,F,645,F
645,G,645,G
655,A,645,A
655,B,645,B
655,C,645,C
655,D,645,D
655,E,645,E
655,F,645,F
655,G,645,G
650,A,650,A
650,B,650,B
650,C,650,C
651,C,650,A
651,D,650,B
651,E,650,C
627,A,634,B
627,B,634,C
627,C,634,D
627,D,634,E
627,E,634,F
627,F,634,A
634,A,634,A
634,B,634,B
634,C,634,C
634,D,634,D
634,E,634,E
634,F,634,F
635,A,634,F
635,B,634,A
635,C,634,B
635,D,634,C
635,E,634,D
635,F,634,E
623,A,623,A
623,B,623,B
623,C,623,C
624,C,623,A
624,D,623,B
624,E,623,C
613,A,613,A
613,B,613,B
613,C,613,C
614,C,613,A
614,D,613,B
614,E,613,C
607,A,607,A
607,B,607,B
607,C,607,C
608,C,607,A
608,D,607,B
608,E,607,C
605,A,605,A
605,B,605,B
605,C,605,C
606,C,605,A
606,D,605,B
606,E,605,C
603,A,603,A
603,B,603,B
603,C,603,C
604,C,603,A
604,D,603,B
604,E,603,C
601,A,601,A
601,B,601,B
601,C,601,C
602,C,601,A
602,D,601,B
602,E,601,C
594,A,594,A
594,B,594,B
594,C,594,C
595,C,594,A
595,D,594,B
595,E,594,C
590,A,590,A
590,B,590,B
590,C,590,C
591,C,590,A
591,D,590,B
591,E,590,C
587,A,587,A
587,B,587,B
587,C,587,C
587,D,587,D
588,C,587,A
588,D,587,B
588,E,587,C
588,F,587,D
585,A,585,A
585,B,585,B
585,C,585,C
585,D,585,D
586,C,585,A
586,D,585,B
586,E,585,C
586,F,585,D
582,A,582,A
582,B,582,B
582,C,582,C
583,C,582,A
583,D,582,B
583,E,582,C
578,A,578,A
578,B,578,B
578,C,578,C
578,D,578,D
579,C,578,A
579,D,578,B
579,E,578,C
579,F,578,D
576,A,576,A
576,B,576,B
576,C,576,C
577,C,576,A
577,D,576,B
577,E,576,C
573,A,573,A
573,B,573,B
573,C,573,C
574,C,573,A
574,D,573,B
574,E,573,C
571,A,571,A
571,B,571,B
571,C,571,C
572,C,571,A
572,D,571,B
572,E,571,C
568,A,568,A
568,B,568,B
568,C,568,C
569,C,568,A
569,D,568,B
569,E,568,C
559,A,559,A
559,B,559,B
559,C,559,C
560,C,559,A
560,D,559,B
560,E,559,C
555,A,555,A
555,B,555,B
555,C,555,C
556,C,555,A
556,D,555,B
556,E,555,C
553,A,553,A
553,B,553,B
553,C,553,C
554,C,553,A
554,D,553,B
554,E,553,C
547,A,547,A
547,B,547,B
547,C,547,C
548,C,547,A
548,D,547,B
548,E,547,C
543,A,543,A
543,B,543,B
543,C,543,C
544,C,543,A
544,D,543,B
544,E,543,C
541,A,542,A
541,B,542,B
541,C,542,C
541,D,542,D
541,E,542,E
541,F,542,F
542,A,542,A
542,B,542,B
542,C,542,C
542,D,542,D
542,E,542,E
542,F,542,F
532,A,533,A
532,B,533,B
532,C,533,C
532,D,533,D
532,E,533,E
532,F,533,F
533,A,533,A
533,B,533,B
533,C,533,C
533,D,533,D
533,E,533,E
533,F,533,F
535,C,536,A
535,D,536,B
535,E,536,C
536,A,536,A
536,B,536,B
536,C,536,C
530,A,530,A
530,B,530,B
530,C,530,C
530,D,530,D
530,E,530,E
530,F,530,F
530,G,530,G
530,H,530,H
530,I,530,I
531,A,530,A
531,B,530,B
531,C,530,C
531,D,530,D
531,E,530,E
531,F,530,F
531,G,530,G
531,H,530,H
531,I,530,I
527,C,528,A
527,D,528,B
527,E,528,C
528,A,528,A
528,B,528,B
528,C,528,C
520,C,521,A
520,D,521,B
520,E,521,C
521,A,521,A
521,B,521,B
521,C,521,C
515,B,516,E
515,C,516,A
515,D,516,B
515,E,516,C
516,A,516,A
516,B,516,B
516,C,516,C
516,E,516,E
513,B1,513,B1
513,B2,513,B1
513,D1,513,D1
513,D2,513,D1
513,E1,513,E1
513,E2,513,E1
513,F1,513,F1
513,F2,513,F1
513,G1,513,G1
513,G2,513,G1
513,G3,513,G1
512,A,512,A
512,B,512,B
512,C,512,C
510,C,512,A
510,D,512,B
510,E,512,C
505,A,506,E
505,B,506,D
505,C,506,A
505,D,506,B
505,E,506,C
506,A,506,A
506,B,506,B
506,C,506,C
506,D,506,D
506,E,506,E
501,C,504,A
501,D,504,B
501,E,504,C
504,A,504,A
504,B,504,B
504,C,504,C
498,A,498,A
498,B,498,B
498,C,498,C
499,C,498,A
499,D,498,B
499,E,498,C
496,C,497,A
496,D,497,B
496,E,497,C
497,A,497,A
497,B,497,B
497,C,497,C
494,A,494,A
494,B,494,B
494,C,494,C
495,C,494,A
495,D,494,B
495,E,494,C
487,A,487,A
487,B,487,B
487,C,487,C
488,C,487,A
488,D,487,B
488,E,487,C
484,A,484,A
484,B,484,B
484,C,484,C
485,C,484,A
485,D,484,B
485,E,484,C
482,A,482,A
482,B,482,B
482,C,482,C
483,C,482,A
483,D,482,B
483,E,482,C
479,C,480,A
479,D,480,B
479,E,480,C
480,A,480,A
480,B,480,B
480,C,480,C
476,C,477,A
476,D,477,B
476,E,477,C
477,A,477,A
477,B,477,B
477,C,477,C
468,A,468,A
468,B,468,B
468,C,468,C
469,C,468,A
469,D,468,B
469,E,468,C
464,A,464,A
464,B,464,B
464,C,464,C
465,C,464,A
465,D,464,B
465,E,464,C
461,A,461,A
461,B,461,B
461,C,461,C
462,C,461,A
462,D,461,B
462,E,461,C
457,A,457,A
457,B,457,B
457,C,457,C
457,D,457,D
457,E,457,E
457,F,457,F
458,A,457,A
458,B,457,B
458,C,457,C
458,D,457,D
458,E,457,E
458,F,457,F
455,A,455,A
455,B,455,B
455,C,455,C
456,C,455,A
456,D,455,B
456,E,455,C
453,A,453,A
453,B,453,B
453,C,453,C
454,C,453,A
454,D,453,B
454,E,453,C
449,A,449,A
449,B,449,B
449,C,449,C
450,C,449,A
450,D,449,B
450,E,449,C
446,A,446,A
446,B,446,B
446,C,446,C
447,C,446,A
447,D,446,B
447,E,446,C
444,A,444,A
444,B,444,B
444,C,444,C
445,C,444,A
445,D,444,B
445,E,444,C
442,A,442,A
442,B,442,B
442,C,442,C
443,C,442,A
443,D,442,B
443,E,442,C
437,C,438,A
437,D,438,B
437,E,438,C
438,A,438,A
438,B,438,B
438,C,438,C
433,C,434,A
433,D,434,B
433,E,434,C
434,A,434,A
434,B,434,B
434,C,434,C
429,A,429,A
429,B,429,B
429,C,429,C
430,C,429,A
430,D,429,B
430,E,429,C
425,A,425,A
425,B,425,B
425,C,425,C
426,C,425,A
426,D,425,B
426,E,425,C
417,C,418,A
417,D,418,B
417,E,418,C
418,A,418,A
418,B,418,B
418,C,418,C
414,A,414,A
414,B,414,B
414,C,414,C
415,C,414,A
415,D,414,B
415,E,414,C
407,A,407,A
407,B,407,B
407,C,407,C
408,C,407,A
408,D,407,B
408,E,407,C
405,C,406,A
405,D,406,B
405,E,406,C
406,A,406,A
406,B,406,B
406,C,406,C
402,C,403,A
402,D,403,B
402,E,403,C
403,A,403,A
403,B,403,B
403,C,403,C
398,A,398,A
398,B,398,B
398,C,398,C
399,C,398,A
399,D,398,B
399,E,398,C
396,A,396,A
396,B,396,B
396,C,396,C
397,C,396,A
397,D,396,B
397,E,396,C
392,A,392,A
392,B,392,B
392,C,392,C
393,C,392,A
393,D,392,B
393,E,392,C
391,C1,391,C1
391,C2,391,C1
391,C3,391,C1
391,D1,391,D1
391,D2,391,D1
391,E1,391,E1
391,E2,391,E1
391,F1,391,F1
391,F2,391,F1
391,F3,391,F1
388,A,388,A
388,B,388,B
388,C,388,C
389,C,388,A
389,D,388,B
389,E,388,C
383,A,383,A
383,B,383,B
383,C,383,C
384,C,383,A
384,D,383,B
384,E,383,C
380,A,380,A
380,B,380,B
380,C,380,C
381,C,380,A
381,D,380,B
381,E,380,C
377,A,377,A
377,B,377,B
377,C,377,C
378,C,377,A
378,D,377,B
378,E,377,C
375,A,375,A
375,B,375,B
375,C,375,C
376,C,375,A
376,D,375,B
376,E,375,C
372,A,372,A
372,B,372,B
372,C,372,C
373,C,372,A
373,D,372,B
373,E,372,C
367,A,367,A
367,B,367,B
367,C,367,C
368,C,367,A
368,D,367,B
368,E,367,C
364,A,364,A
364,B,364,B
364,C,364,C
365,C,364,A
365,D,364,B
365,E,364,C
360,A,360,A
360,B,360,B
360,C,360,C
361,C,360,A
361,D,360,B
361,E,360,C
356,A,356,A
356,B,356,B
356,C,356,C
357,C,356,A
357,D,356,B
357,E,356,C
354,A,354,A
354,B,354,B
354,C,354,C
355,C,354,A
355,D,354,B
355,E,354,C
351,A,351,A
351,B,351,B
351,C,351,C
352,C,351,A
352,D,351,B
352,E,351,C
348,A,348,A
348,B,348,B
348,C,348,C
349,C,348,A
349,D,348,B
349,E,348,C
346,A,346,A
346,B,346,B
346,C,346,C
347,C,346,A
347,D,346,B
347,E,346,C
343,A,343,A
343,B,343,B
343,C,343,C
344,C,343,A
344,D,343,B
344,E,343,C
340,C,341,A
340,D,341,B
340,E,341,C
341,A,341,A
341,B,341,B
341,C,341,C
337,C,338,A
337,D,338,B
337,E,338,C
338,A,338,A
338,B,338,B
338,C,338,C
326,A,326,A
326,B,326,B
326,C,326,C
326,D,326,D
326,E,326,E
326,F,326,F
335,A,326,A
335,B,326,B
335,C,326,C
335,D,326,D
335,E,326,E
335,F,326,F
333,A,333,A
333,B,333,B
333,C,333,C
334,C,333,A
334,D,333,B
334,E,333,C
329,A,329,A
329,B,329,B
329,C,329,C
330,C,329,A
330,D,329,B
330,E,329,C
331,A1,331,A1
331,A2,331,A1
331,B1,331,B1
331,B2,331,B1
331,C1,331,C1
331,C2,331,C1
331,C3,331,C1
331,D1,331,D1
331,D2,331,D1
331,D3,331,D1
331,E1,331,E1
331,E2,331,E1
324,A1,324,A1
324,A2,324,A1
324,B1,324,B1
324,B2,324,B1
324,C1,324,C1
324,C2,324,C1
324,C3,324,C1
324,D1,324,D1
324,D2,324,D1
324,D3,324,D1
324,E1,324,E1
324,E2,324,E1
321,A,321,A
321,B,321,B
321,C,321,C
322,C,321,A
322,D,321,B
322,E,321,C
319,A,319,A
319,B,319,B
319,C,319,C
320,C,319,A
320,D,319,B
320,E,319,C
317,A,317,A
317,B,317,B
317,C,317,C
318,C,317,A
318,D,317,B
318,E,317,C
316,A1,316,A1
316,A2,316,A1
316,B1,316,B1
316,B2,316,B1
316,C1,316,C1
316,C2,316,C1
316,D1,316,D1
316,D2,316,D1
316,D3,316,D1
316,E1,316,E1
316,E2,316,E1
316,E3,316,E1
316,F1,316,F1
316,F2,316,F1
316,F3,316,F1
316,G1,316,G1
316,G2,316,G1
316,G3,316,G1
314,A,314,A
314,B,314,B
314,C,314,C
315,C,314,A
315,D,314,B
315,E,314,C
311,A,311,A
311,B,311,B
311,C,311,C
312,C,311,A
312,D,311,B
312,E,311,C
303,A,303,A
303,B,303,B
303,C,303,C
304,C,303,A
304,D,303,B
304,E,303,C
301,A,301,A
301,B,301,B
301,C,301,C
302,C,301,A
302,D,301,B
302,E,301,C
297,A,297,A
297,B,297,B
297,C,297,C
298,C,297,A
298,D,297,B
298,E,297,C
295,A,295,A
295,B,295,B
295,C,295,C
296,C,295,A
296,D,295,B
296,E,295,C
288,A,288,A
288,B,288,B
288,C,288,C
289,C,288,A
289,D,288,B
289,E,288,C
286,A,286,A
286,B,286,B
286,C,286,C
287,C,286,A
287,D,286,B
287,E,286,C
283,A,283,A
283,B,283,B
283,C,283,C
284,C,283,A
284,D,283,B
284,E,283,C
280,A,280,A
280,B,280,B
280,C,280,C
281,C,280,A
281,D,280,B
281,E,280,C
277,A,277,A
277,B,277,B
277,C,277,C
278,C,277,A
278,D,277,B
278,E,277,C
274,A,274,A
274,B,274,B
274,C,274,C
275,C,274,A
275,D,274,B
275,E,274,C
272,C,273,A
272,D,273,B
272,E,273,C
273,A,273,A
273,B,273,B
273,C,273,C
269,A,269,A
269,B,269,B
269,C,269,C
270,C,269,A
270,D,269,B
270,E,269,C
264,A,264,A
264,B,264,B
264,C,264,C
265,C,264,A
265,D,264,B
265,E,264,C
261,A,261,A
261,B,261,B
261,C,261,C
262,C,261,A
262,D,261,B
262,E,261,C
258,A,258,A
258,B,258,B
258,C,258,C
259,C,258,A
259,D,258,B
259,E,258,C
256,A,256,A
256,B,256,B
256,C,256,C
255,C,256,A
255,D,256,B
255,E,256,C
251,A,251,A
251,B,251,B
251,C,251,C
252,C,251,A
252,D,251,B
252,E,251,C
248,C,249,A
248,D,249,B
248,E,249,C
249,A,249,A
249,B,249,B
249,C,249,C
243,A,243,A
243,B,243,B
243,C,243,C
244,C,243,A
244,D,243,B
244,E,243,C
238,A,238,A
238,B,238,B
238,C,238,C
239,C,238,A
239,D,238,B
239,E,238,C
235,A,235,A
235,B,235,B
235,C,235,C
236,C,235,A
236,D,235,B
236,E,235,C
234,D,240,A
234,F,240,B
234,G,240,C
234,H,240,D
240,A,240,A
240,B,240,B
240,C,240,C
240,D,240,D
232,A,232,A
232,B,232,B
232,C,232,C
233,C,232,A
233,D,232,B
233,E,232,C
229,A,229,A
229,B,229,B
229,C,229,C
230,C,229,A
230,D,229,B
230,E,229,C
226,A,226,A
226,B,226,B
226,C,226,C
227,C,226,A
227,D,226,B
227,E,226,C
223,A,223,A
223,B,223,B
223,C,223,C
224,C,223,A
224,D,223,B
224,E,223,C
220,A,220,A
220,B,220,B
220,C,220,C
221,C,220,A
221,D,220,B
221,E,220,C
217,A,217,A
217,B,217,B
217,C,217,C
218,C,217,A
218,D,217,B
218,E,217,C
213,A,213,A
213,B,213,B
213,C,213,C
214,C,213,A
214,D,213,B
214,E,213,C
204,A,204,A
204,B,204,B
204,C,204,C
205,C,204,A
205,D,204,B
205,E,204,C
207,A1,207,A1
207,A2,207,A1
207,A3,207,A1
207,B1,207,B1
207,B2,207,B1
207,B3,207,B1
207,C1,207,C1
207,C2,207,C1
207,C3,207,C1
207,D1,207,D1
207,D10,207,D1
207,D2,207,D1
207,D3,207,D1
207,D4,207,D1
207,D5,207,D1
207,D6,207,D1
207,D7,207,D1
207,D8,207,D1
207,D9,207,D1
206,A1,206,A1
206,A2,206,A1
206,A3,206,A1
206,B1,206,B1
206,B2,206,B1
206,B3,206,B1
206,C1,206,C1
206,C2,206,C1
206,C3,206,C1
206,D1,206,D1
206,D10,206,D1
206,D2,206,D1
206,D3,206,D1
206,D4,206,D1
206,D5,206,D1
206,D6,206,D1
206,D7,206,D1
206,D8,206,D1
206,D9,206,D1
201,A,201,A
201,B,201,B
201,C,201,C
202,C,201,A
202,D,201,B
202,E,201,C
198,A,198,A
198,B,198,B
198,C,198,C
199,C,198,A
199,D,198,B
199,E,198,C
196,A,196,A
196,B,196,B
196,C,196,C
197,C,196,A
197,D,196,B
197,E,196,C
193,A,193,A
193,B,193,B
193,C,193,C
194,C,193,A
194,D,193,B
194,E,193,C
191,A,191,A
191,B,191,B
191,C,191,C
192,C,191,A
192,D,191,B
192,E,191,C
187,A,187,A
187,B,187,B
187,C,187,C
189,C,187,A
189,D,187,B
189,E,187,C
185,A,185,A
185,B,185,B
185,C,185,C
186,C,185,A
186,D,185,B
186,E,185,C
178,A1,178,A1
178,A2,178,A1
178,A3,178,A1
178,B1,178,B1
178,B2,178,B1
178,B3,178,B1
178,C1,178,C1
178,C2,178,C1
178,C3,178,C1
178,D1,178,D1
178,D2,178,D1
178,D3,178,D1
178,E1,178,E1
178,E2,178,E1
178,E3,178,E1
178,F1,178,F1
178,F2,178,F1
178,F3,178,F1
177,A1,177,A1
177,A2,177,A1
177,B1,177,B1
177,B2,177,B1
177,C1,177,C1
177,C2,177,C1
177,D1,177,D1
177,D2,177,D1
177,E1,177,E1
177,E2,177,E1
177,F1,177,F1
177,F2,177,F1
177,G1,177,G1
177,G2,177,G1
176,A,181,C
176,B,181,D
176,C,181,E
181,C,181,C
181,D,181,D
181,E,181,E
164,A,174,D
164,B,174,E
174,D,174,D
174,E,174,E
167,A,167,A
167,B,167,B
167,C,167,C
168,C,167,A
168,D,167,B
168,E,167,C
163,A,169,C
163,B,169,D
163,C,169,E
169,C,169,C
169,D,169,D
169,E,169,E
156,A,156,A
156,B,156,B
156,C,156,C
157,C,156,A
157,D,156,B
157,E,156,C
154,A,154,A
154,B,154,B
154,C,154,C
155,C,154,A
155,D,154,B
155,E,154,C
150,A,150,A
150,B,150,B
150,C,150,C
151,C,150,A
151,D,150,B
151,E,150,C
145,A,145,A
145,B,145,B
145,C,145,C
146,C,145,A
146,D,145,B
146,E,145,C
142,A,142,A
142,B,142,B
142,C,142,C
143,C,142,A
143,D,142,B
143,E,142,C
138,A,138,A
138,B,138,B
138,C,138,C
139,C,138,A
139,D,138,B
139,E,138,C
135,A,135,A
135,B,135,B
135,C,135,C
136,C,135,A
136,D,135,B
136,E,135,C
132,A,132,A
132,B,132,B
132,C,132,C
133,C,132,A
133,D,132,B
133,E,132,C
128,A,128,A
128,B,128,B
128,C,128,C
129,C,128,A
129,D,128,B
129,E,128,C
126,A,126,A
126,B,126,B
126,C,126,C
127,C,126,A
127,D,126,B
127,E,126,C
123,A,123,A
123,B,123,B
123,C,123,C
124,C,123,A
124,D,123,B
124,E,123,C
121,A,121,A
121,B,121,B
121,C,121,C
122,C,121,A
122,D,121,B
122,E,121,C
115,A,115,A
115,B,115,B
115,C,115,C
116,C,115,A
116,D,115,B
116,E,115,C
113,A,113,A
113,B,113,B
113,C,113,C
114,C,113,A
114,D,113,B
114,E,113,C
111,A,111,A
111,B,111,B
111,C,111,C
112,C,111,A
112,D,111,B
112,E,111,C
109,A,109,A
109,B,109,B
109,C,109,C
110,C,109,A
110,D,109,B
110,E,109,C
107,A,107,A
107,B,107,B
107,C,107,C
108,C,107,A
108,D,107,B
108,E,107,C
103,A,103,A
103,B,103,B
103,C,103,C
103,D,103,D
104,B,103,A
104,C,103,B
104,D,103,C
104,E,103,D
101,A,101,A
101,B,101,B
101,C,101,C
102,C,101,A
102,D,101,B
102,E,101,C
98,A,98,A
98,B,98,B
98,C,98,C
99,C,98,A
99,D,98,B
99,E,98,C
95,A,95,A
95,C,95,C
95,D,95,D
96,C,95,A
96,D,95,C
96,E,95,D
93,A,93,A
93,B,93,B
93,C,93,C
94,C,93,A
94,D,93,B
94,E,93,C
91,A,91,A
91,B,91,B
91,C,91,C
92,C,91,A
92,D,91,B
92,E,91,C
89,A,89,A
89,B,89,B
89,C,89,C
90,C,89,A
90,D,89,B
90,E,89,C
87,A,87,A
87,B,87,B
87,C,87,C
88,C,87,A
88,D,87,B
88,E,87,C
83,A,83,A
83,B,83,B
83,C,83,C
84,B,83,A
84,D,83,B
84,E,83,C
77,A,77,A
77,B,77,B
77,C,77,C
80,C,77,A
80,D,77,B
80,E,77,C
